Carol Alt	I miei primi 40 anni	1987
Joaquim de Almeida	The Dumbfounded King	1991
Irrfan Khan	Life of Pi	2012
Charlie Day	Fist Fight	2017
Maria Conchita Alonso	Chain of Command	2000
Corbin Bernsen	Alone We Fight	2018
Laura Linney	Molly	2019
Jack Hawkins	Who Goes Next?	1938
Gerard Lanvin	Il etait une fois les lyonnais	2011
Shannon Tweed	White Cargo	1996
Amy Madigan	Virginia	2010
Florinda Bolkan	Incontro	1971
Charles Grodin	The Incredible Shrinking Woman	1981
Clive Owen	Killer Elite	2011
Laetitia Casta	The Island	2011
Kenneth Branagh	Murder on the Orient Express	2017
Trini Alvarado	The Chair	1988
Kim Cattrall	Meet Monica Velour	2010
James Franco	Every Thing Will Be Fine	2015
Rosario Dawson	Descent	2007
Joshua Jackson	Shutter	2008
Paula Prentiss	Last of the Red Hot Lovers	1972
Steve Buscemi	Nancy	2018
Richard Harris	Mutiny on the Bounty	1962
Russell Brand	The Tempest	2010
Winona Ryder	Boys	1996
Louis Velle	Un mari, c'est un mari	1976
Arsinee Khanjian	Lost in Armenia	2016
Theodoros Angelopoulos	Mr. Lumiere... I Am Back	2006
Maria Schell	Das Riesenrad	1961
Geoffrey Rush	Ned Kelly	2003
Emily Mortimer	Good Posture	2019
Brion James	Enemy Mine	1985
Robert Stack	The Gift of Love	1958
Juan Andres Silva	Crystal Fairy & the Magical Cactus	2013
James Whitmore	Zoo Ship	1985
Craig T. Nelson	Poltergeist	1982
Gila von Weitershausen	Lippels Traum	1991
Matthew Broderick	Mrs. Parker and the Vicious Circle	1994
Julie Delpy	King Lear	1987
Laurence Olivier	The Devil's Disciple	1959
John Kani	White Lion	2010
Tessa Thompson	South Dakota	2017
George Segal	Who Is Killing the Great Chefs of Europe?	1978
Will Smith	Men in Black 3	2012
Austin Pendleton	Short Circuit	1986
Tea Leoni	The Family Man	2000
Jason Priestley	The Highwayman	2000
Gillian Jacobs	Made in Cleveland	2013
Melora Walters	Missing Pieces	2012
Marion Cotillard	A Private Affair	2002
Dana Delany	Multiple Sarcasms	2010
Bradford Dillman	Compulsion	1959
Katherine Heigl	The Ringer	2005
Jordi Molla	Stories from the Kronen	1995
Lambert Wilson	Baby Bump(S)	2017
Robert Morley	Topkapi	1964
Jenny Wright	Valentino Returns	1989
Kris Kristofferson	Traded	2016
Ron Rifkin	Silent Running	1972
Catherine Mary Stewart	Imitation Girl	2017
Armin Mueller-Stahl	Nelken in Aspik	1976
Claire Foy	Season of the Witch	2011
Kenneth Turan	Lasting Silents	1997
Rita Moreno	Happy Birthday, Gemini	1980
Tara Reid	Van Wilder	2002
George Blagden	Blood Moon	2014
John Corbett	Desperate But Not Serious	2000
Carlos Bardem	Bestiary	2002
Maribel Verdu	Tetro	2009
Bruce Altman	The Sound of Silence	2019
Barry Corbin	The Bay House	2019
George Kennedy	Zig Zag	1970
Philip Seymour Hoffman	Magnolia	1999
Armand Assante	Casanova's Last Stand	2007
Peter Ustinov	Viva Max	1969
Valentina Cortese	Girl of the Golden West	1942
Ice-T	Johnny Mnemonic	1995
Michael Stuhlbarg	Pawn Sacrifice	2014
Vincent Perez	Monsieur Papa	2011
Doug Bradley	Halloween... The Happy Haunting of America!	1997
Moshe Ivgy	Cafe Tales	2003
Michael Caine	Too Late the Hero	1970
Nikolaus Dutsch	Dear Mother, I'm All Right	1972
Amanda Peet	A Lot Like Love	2005
Ed Helms	The Clapper	2017
Kaley Cuoco	Authors Anonymous	2014
John Savage	Nephilim	2017
John Travolta	Speed Kills	2018
Robert Mitchum	Fire Down Below	1957
Adam Trese	40 Days and 40 Nights	2002
James Woods	Straight Talk	1992
Deborah Worthing	Asylum	1997
Stephen Graham	Best Laid Plans	2012
Hiam Abbass	Petites revelations	2006
Talia Shire	Bed & Breakfast	1991
Adam Sandler	Uncut Gems	2019
Jose Garcia	Would I Lie to You? 2	2001
Joseph Estrada	Sapang palay	1965
Joseph Estrada	Pepeng Pingas (Ang Batang San Nicolas)	1965
Sophia Myles	The Abduction Club	2002
Jamie Kennedy	Buddy Hutchins	2015
Scarlett Johansson	Captain America: The Winter Soldier	2014
Scott Brady	Terror at Midnight	1956
Daryl Sabara	Spy Kids 2: Island of Lost Dreams	2002
Erik Palladino	Hollywood Boulevard	1996
Jeffrey Meek	Timelock	1996
Piper Laurie	The Grass Harp	1995
Jill Eikenberry	Hide in Plain Sight	1980
Nathaniel Parker	Wide Sargasso Sea	1993
Vinnie Jones	Reaper	2014
Chris Isaak	A Dirty Shame	2004
George Knapp	MUFON-LA presents George Knapp	1998
Emma Watson	Harry Potter and the Deathly Hallows: Part 1	2010
Jim Belushi	Living in Peril	1997
Jonathan Rhys Meyers	The Children of Huang Shi	2008
Sinbad	The Funk Brothers	2011
Christopher Lloyd	Dead Before Dawn 3D	2012
Sandrine Bonnaire	Tir a vue	1984
Ashley Greene	Staten Island Summer	2015
Shirley Jones	Never Steal Anything Small	1959
Susannah York	Tomorrow's a Killer	1987
Michel Piccoli	Little Girl in Blue Velvet	1978
Leonardo DiCaprio	The Quick and the Dead	1995
Jennifer Beals	Let It Be Me	1995
Ken Wahl	Saving America's Horses: A Nation Betrayed	2012
Jeffrey Tambor	Branded	2012
Debbie Harry	Heavy	1995
Bruno Ganz	Brandnacht	1993
Sophia Loren	Saturday, Sunday and Monday	1990
Benoit Poelvoorde	La vie politique des Belges	2002
Francisco Rabal	Autopsy of a Criminal	1963
Brian Deegan	Twitch Hoodrich	2008
Udo Kier	One Point O	2004
Jacinda Barrett	School for Scoundrels	2006
Teruyuki Kagawa	The Haunted Samurai	2007
Bill Moseley	The Inflicted	2012
Amber Heard	The River Why	2010
Avery Brooks	15 Minutes	2001
Aleksandr Zbruev	Takiye zhe, kak my!	1980
Paget Brewster	Swan... One Man's Journey	2010
Peter Coyote	Unprecedented: The 2000 Presidential Election	2002
Alan Bates	We Think the World of You	1988
Debbie Reynolds	Rudolph the Red-Nosed Reindeer	1998
Corey Haim	Oh, What a Night	1992
Cengiz Bozkurt	Oz Hakiki Karakol: Asayis Berkemal Aga...	2012
David Spielberg	War and Love	1985
Rhys Ifans	Rite of Passage: The Amazing Spider-Man Reborn	2012
Stephen Colbert	Hero with a Thousand Faces	2016
Alfred Molina	Swelter	2014
Ron Perlman	When the Bough Breaks	1994
Kelly Macdonald	Stella Does Tricks	1996
Tom Wilkinson	The Catcher Was a Spy	2018
Jenn Gotzon Chandler	The Colors of Emily	2017
John Krasinski	Something Borrowed	2011
Rosamund Pike	What We Did on Our Holiday	2014
Michele Placido	Chopin	1982
Carmen Chaplin	Regarde-moi	2001
Martin Donovan	The Pornographer: A Love Story	2004
Lee Garlington	Guarding Eddy	2004
Albert Brooks	Broadcast News	1987
Val Kilmer	Tombstone	1993
Lionel Stander	Pulp	1972
Allen Garfield	The Brink's Job	1978
Simon Andreu	Bad Man's River	1971
Rod Taylor	King of the Coral Sea	1954
Patricia Arquette	Human Nature	2001
Catherine Zeta-Jones	The Terminal	2004
Josh Hutcherson	The Forger	2012
Ned Beatty	Mikey and Nicky	1976
Richard Gere	Dr. T & the Women	2000
Cachao	No seas cruel	1996
Tatum O'Neal	Prisoners	1983
Karl Geary	Coney Island Baby	2003
Aida Turturro	Freak Weather	1999
Bo Hopkins	The Final Alliance	1990
Joanna Pacula	Last Gasp	1995
